participant_id,date,gender,activity_type,duration_minutes,calories_burned,daily_steps,avg_heart_rate,sleep_hours
P022,2026-02-02,Male,Walking,44,211.0,9229.0,95.0,7.3
P015,2026-02-17,Male,Swimming,48,389.0,3778.0,124.0,6.2
P008,2026-03-17,Male,Running,57,556.0,13519.0,137.0,7.0
P018,2026-03-07,Male,Walking,51,240.0,10557.0,104.0,4.9
P030,2026-03-15,Male,HIIT,33,350.0,6856.0,138.0,6.6
P004,2026-03-27,Male,Swimming,60,482.0,3267.0,132.0,6.1
P022,2026-02-08,Male,Walking,42,208.0,10036.0,105.0,5.1
P009,2026-03-30,Female,HIIT,40,345.0,6127.0,123.0,7.1
P022,2026-03-20,Male,Swimming,21,216.0,5369.0,136.0,7.0
P028,2026-02-06,Female,Swimming,47,354.0,4598.0,131.0,6.9
P011,2026-03-22,Male,Weight Training,44,297.0,4317.0,116.0,5.8
P015,2026-02-16,Male,Cycling,65,498.0,4339.0,114.0,6.1
P015,2026-03-01,Male,Running,59,573.0,12104.0,126.0,5.6
P007,2026-03-04,Male,Walking,59,291.0,8586.0,94.0,6.9
P008,2026-01-19,Male,Cycling,36,324.0,7244.0,129.0,6.0
P001,2026-02-06,Male,Cycling,71,535.0,4336.0,114.0,6.4
P011,2026-01-20,Male,Running,50,492.0,10767.0,144.0,5.2
P028,2026-02-20,Female,Yoga,44,174.0,4021.0,93.0,6.9
P007,2026-01-26,Male,HIIT,42,452.0,6461.0,139.0,6.4
P020,2026-02-20,Female,Yoga,52,161.0,4946.0,93.0,6.4
P009,2026-02-16,Female,HIIT,29,258.0,6170.0,122.0,7.4
P028,2026-03-17,Female,Yoga,62,230.0,4067.0,92.0,8.4
P030,2026-01-15,Male,Running,32,313.0,8089.0,131.0,8.2
P013,2026-02-27,Male,HIIT,26,311.0,6689.0,125.0,7.7
P025,2026-01-07,Female,Swimming,20,183.0,5313.0,114.0,8.4
P023,2026-02-01,Female,Running,34,307.0,9774.0,115.0,7.5
P016,2026-02-17,Male,Weight Training,71,475.0,5028.0,100.0,7.0
P003,2026-03-07,Female,Weight Training,53,328.0,5907.0,118.0,8.0
P018,2026-03-19,Male,Running,40,387.0,11602.0,133.0,7.1
P015,2026-02-09,Male,Swimming,69,544.0,3979.0,123.0,4.0
P022,2026-01-28,Male,Running,49,518.0,11847.0,136.0,7.3
P009,2026-02-22,Female,Running,41,376.0,9946.0,118.0,7.5
P009,2026-01-26,Female,Cycling,85,579.0,4782.0,114.0,5.8
P024,2026-01-10,Female,Cycling,58,409.0,4318.0,110.0,6.8
P025,2026-02-24,Female,Weight Training,40,263.0,5984.0,100.0,6.0
P027,2026-03-07,Male,Running,55,546.0,12846.0,124.0,6.8
P023,2026-01-05,Female,Running,58,497.0,13301.0,118.0,6.2
P025,2026-01-30,Female,Walking,31,146.0,8615.0,91.0,6.8
P024,2026-03-14,Female,HIIT,39,354.0,5538.0,120.0,7.3
P021,2026-02-21,Male,Running,58,579.0,13152.0,129.0,8.2
P030,2026-03-30,Male,Walking,49,258.0,8745.0,102.0,6.5
P003,2026-01-10,Female,Cycling,83,535.0,5857.0,116.0,7.9
P013,2026-02-16,Male,Swimming,73,613.0,6278.0,110.0,7.7
P024,2026-03-27,Female,Swimming,68,513.0,3828.0,112.0,7.2
P019,2026-02-07,Female,Cycling,43,329.0,3971.0,116.0,8.3
P009,2026-03-27,Female,Yoga,36,147.0,4537.0,90.0,6.2
P019,2026-01-27,Female,HIIT,30,294.0,5003.0,134.0,6.7
P012,2026-03-05,Male,Swimming,29,255.0,3744.0,118.0,6.2
P001,2026-03-31,Male,Weight Training,61,420.0,4716.0,122.0,4.0
P017,2026-02-17,Female,Cycling,88,597.0,3926.0,127.0,6.9
P021,2026-01-30,Male,HIIT,30,346.0,7600.0,139.0,7.5
P009,2026-02-27,Female,Running,34,319.0,8411.0,120.0,6.6
P010,2026-02-10,Male,Yoga,42,187.0,3742.0,90.0,7.4
P013,2026-03-03,Male,Swimming,22,184.0,5351.0,109.0,7.7
P019,2026-01-24,Female,Weight Training,43,271.0,4311.0,121.0,6.0
P013,2026-03-26,Male,Cycling,62,470.0,5817.0,119.0,7.2
P006,2026-01-06,Male,Running,44,431.0,8915.0,127.0,6.9
P024,2026-02-21,Female,HIIT,27,220.0,4849.0,125.0,7.0
P021,2026-01-22,Male,Walking,50,253.0,9843.0,106.0,5.9
P009,2026-03-02,Female,Running,20,179.0,7443.0,110.0,8.6
P013,2026-03-22,Male,Weight Training,38,277.0,6515.0,102.0,8.5
P008,2026-01-01,Male,Yoga,52,192.0,6329.0,90.0,9.1
P014,2026-01-15,Male,Running,55,541.0,10289.0,150.0,4.3
P008,2026-02-25,Male,Running,59,579.0,14827.0,141.0,4.2
P006,2026-02-24,Male,Running,36,358.0,7340.0,125.0,7.0
P023,2026-02-15,Female,Running,57,466.0,11691.0,117.0,7.4
P007,2026-02-02,Male,Weight Training,49,334.0,4549.0,117.0,6.6
P029,2026-01-15,Male,Walking,43,311.0,7969.0,92.0,9.0
P007,2026-02-01,Male,Yoga,59,242.0,3675.0,94.0,7.8
P024,2026-03-30,Female,Swimming,40,270.0,3734.0,108.0,7.9
P014,2026-03-16,Male,Walking,67,312.0,9179.0,90.0,9.7
P008,2026-03-01,Male,HIIT,43,461.0,9543.0,127.0,8.6
P003,2026-01-12,Female,Cycling,45,295.0,5884.0,120.0,6.0
P020,2026-02-28,Female,Walking,49,219.0,9152.0,90.0,8.0
P007,2026-02-01,Male,Weight Training,39,262.0,4195.0,115.0,6.5
